id_tipologia,regiao,tipologia_pndr,n_municipios,pib_2021_mil,pop_2021,pop_2022,massa_total,massa_obj4,massa_com_agr,massa_com_min,sem_correspondencia_territorial,pib_pc_2021,massa_com,razao_dependencia_com,q_pib_2021,q_pib_pc_2021,q_pop_2021,grupo_q_pib,grupo_q_pib_pc,grupo_q_pop,cruz_q_pib_pop,cruz_q_pibpc_pop,flag_dep_q_pib_pop,flag_dep_q_pibpc_pop
420004,Sul,Alta Renda,14,6321081.0,203463.0,218227.0,3749168433.2799983,1581923086.633739,11583260.45111847,18081881.08467865,0,31067.471727046195,29665141.53579712,0.018752581453832375,3,3,3,QPIB3,QPIBPC3,QPOP3,QPIB3_QPOP3,QPIBPC3_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420005,Sul,Alta Renda,18,11346542.0,287549.0,294073.0,6350221208.629088,2639235149.0445952,182487882.03178045,17227606.222873688,0,39459.50777084949,199715488.25465414,0.07567172948835243,4,3,4,QPIB4,QPIBPC3,QPOP4,QPIB4_QPOP4,QPIBPC3_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420006,Sul,Alta Renda,6,2861493.0,70349.0,67856.0,1555734790.6098866,442395631.40672565,143241348.3974838,7769248.65988598,0,40675.67413893588,151010597.05736977,0.34134739662140795,3,4,2,QPIB3,QPIBPC4,QPOP2,QPIB3_QPOP2,QPIBPC4_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420007,Sul,Alta Renda,32,21319320.0,419863.0,455121.0,16431314106.270039,8295011833.686312,23481004.594880104,18724087.92803192,0,50776.84863872263,42205092.522912025,0.005088008717662798,4,4,4,QPIB4,QPIBPC4,QPOP4,QPIB4_QPOP4,QPIBPC4_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420008,Sul,Alta Renda,18,9653720.0,182118.0,181055.0,5835180243.887753,2942628494.5175276,51592236.31053833,19493092.839897156,0,53008.049726001824,71085329.15043548,0.024157085844467296,4,4,3,QPIB4,QPIBPC4,QPOP3,QPIB4_QPOP3,QPIBPC4_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420009,Sul,Alta Renda,20,6879076.0,165431.0,171390.0,3983743011.389804,2079920266.6426194,25300498.408218384,13106185.920468807,0,41582.75051229818,38406684.32868719,0.018465459923943512,3,4,3,QPIB3,QPIBPC4,QPOP3,QPIB3_QPOP3,QPIBPC4_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420010,Sul,Alta Renda,12,7650582.0,140582.0,150399.0,5049573343.090159,2652420250.2337394,11457528.16595459,5515371.483886719,0,54420.779331635626,16972899.64984131,0.006399023551545274,4,4,3,QPIB4,QPIBPC4,QPOP3,QPIB4_QPOP3,QPIBPC4_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420011,Sul,Alta Renda,13,5695840.0,132281.0,129256.0,2994681621.0273085,1422380907.6008246,79065751.38008249,4285169.111495972,0,43058.640318715465,83350920.49157846,0.058599577684271036,3,4,3,QPIB3,QPIBPC4,QPOP3,QPIB3_QPOP3,QPIBPC4_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420012,Sul,Alta Renda,8,2766433.0,53094.0,55407.0,1427629908.5610113,852942803.4122026,2548729.0342521667,1360838.3352661133,0,52104.437412890344,3909567.36951828,0.004583621966066227,2,4,2,QPIB2,QPIBPC4,QPOP2,QPIB2_QPOP2,QPIBPC4_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420013,Sul,Alta Renda,6,1963902.0,42212.0,45288.0,1272451963.2014015,780764283.9449762,8313732.659584045,1235712.5787963867,0,46524.73230361035,9549445.238380432,0.012230894054387128,2,4,1,QPIB2,QPIBPC4,QPOP1,QPIB2_QPOP1,QPIBPC4_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
