cnae_subclasse_key,descricao,nivel,secao,divisao,grupo,classe,subclasse,e_obj4_original,com_agr_original,com_min_original,e_obj4_ajustado,com_agr_ajustado,com_min_ajustado,excluir_obj4,classificacao,q_salario,q_vinculos,rank_salario,rank_vinculos,rank_massa,salario_relativo,vinculos,massa_salarial_rais_2024,remuneracao,indice,e_obj4,com_agr,com_min
1041400,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",Subclasse,C,10,104,10414,1041400,0,0,0,0,0,0,0,Alta remuneração e alto emprego,4.0,4.0,327.0,316.0,255.0,141021586468476.0,41405.0,16236507183.0,3921388040816327.0,43032074633352.0,0,0,0
1042200,"Fabricação de óleos vegetais refinados, exceto óleo de milho",Subclasse,C,10,104,10422,1042200,0,0,0,0,0,0,0,Alta remuneração e alto emprego,4.0,3.0,86.0,642.0,410.0,2635260461591534.0,12429.0,9107809914.0,7327870234129858.0,836787785841338.0,0,0,0
1043100,Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,Subclasse,C,10,104,10431,1043100,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,4.0,2.0,295.0,882.0,825.0,1501411990091319.0,4665.0,1947626844.0,417497715755627.0,353880322610305.0,0,0,0
1051100,Preparação do leite,Subclasse,C,10,105,10511,1051100,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,3.0,3.0,645.0,515.0,536.0,9539445904720404.0,20673.0,5483790794.0,2652634254341411.0,18299223412899.0,0,0,0
1052000,Fabricação de laticínios,Subclasse,C,10,105,10520,1052000,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,3.0,4.0,604.0,120.0,128.0,990035668532217.0,135960.0,37429689228.0,275299273521624.0,481057024178614.0,0,0,0
1053800,Fabricação de sorvetes e outros gelados comestíveis,Subclasse,C,10,105,10538,1053800,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,1.0,4.0,993.0,274.0,380.0,7356907663642559.0,50358.0,10301915959.0,2045735724016045.0,18234607945174.0,0,0,0
1061901,Beneficiamento de arroz,Subclasse,C,10,106,10619,1061901,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,3.0,562.0,387.0,406.0,1047426070360034.0,31806.0,9263746406.0,2912578257561467.0,244906433406762.0,0,0,0
1061902,Fabricação de produtos do arroz,Subclasse,C,10,106,10619,1061902,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,2.0,1.0,809.0,1127.0,1147.0,8476639262469275.0,1094.0,257866691.0,2357099552102377.0,106523473894257.0,0,0,0
1062700,Moagem de trigo e fabricação de derivados,Subclasse,C,10,106,10627,1062700,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,3.0,397.0,356.0,317.0,1268356266451213.0,35492.0,12517740833.0,3526918976952553.0,35051282126583.0,0,0,0
1063500,Fabricação de farinha de mandioca e derivados,Subclasse,C,10,106,10635,1063500,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,2.0,2.0,898.0,815.0,898.0,794534532639855.0,6670.0,1473644866.0,2209362617691154.0,104656217260986.0,0,0,0
1064300,"Fabricação de farinha de milho e derivados, exceto óleos de milho",Subclasse,C,10,106,10643,1064300,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,2.0,3.0,759.0,614.0,689.0,8847469029750928.0,13970.0,343692204.0,2460216206156048.0,146782055134663.0,0,0,0
1065101,Fabricação de amidos e féculas de vegetais,Subclasse,C,10,106,10651,1065101,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,3.0,348.0,630.0,568.0,1362195111931053.0,13182.0,4993152711.0,3787856706873009.0,324565929771751.0,0,0,0
1065102,Fabricação de óleo de milho em bruto,Subclasse,C,10,106,10651,1065102,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,1.0,355.0,1267.0,1261.0,134163922554675.0,121.0,45141433.0,3730696942148761.0,277504399035216.0,0,0,0
1065103,,,INDÚSTRIAS DE TRANSFORMAÇÃO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,"Moagem, fabricação de produtos amiláceos e de alimentos para animais",Fabricação de amidos e féculas de vegetais e de óleos de milho,Fabricação de óleo de milho refinado,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0
1066000,Fabricação de alimentos para animais,Subclasse,C,10,106,10660,1066000,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,4.0,513.0,140.0,135.0,1103956703588419.0,115069.0,35323571174.0,3069773020883122.0,489543005344089.0,0,0,0
1069400,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,Subclasse,C,10,106,10694,1069400,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,3.0,573.0,416.0,431.0,1030489980993753.0,28934.0,8290991592.0,2865484064422479.0,230305159543186.0,0,0,0
1071600,Fabricação de açúcar em bruto,Subclasse,C,10,107,10716,1071600,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,4.0,439.0,37.0,27.0,1194640378732333.0,368094.0,122278513951.0,3321937166892153.0,12390691751784.0,0,0,0
1072401,Fabricação de açúcar de cana refinado,Subclasse,C,10,107,10724,1072401,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,3.0,2.0,638.0,799.0,833.0,9593398383344564.0,7054.0,1881751015.0,2667636823079104.0,151197789364917.0,0,0,0
1081301,Beneficiamento de café,Subclasse,C,10,108,10813,1081301,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,2.0,1.0,828.0,1104.0,1126.0,8354398374817005.0,1385.0,321750461.0,232310802166065.0,103897768227258.0,0,0,0
1081302,Torrefação e moagem de café,Subclasse,C,10,108,10813,1081302,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,3.0,501.0,521.0,499.0,1125894099336836.0,20414.0,6391162757.0,3130774349466053.0,248181467506859.0,0,0,0
