nivel_territorial,tipo_grupo,grupo,metodo_media,razao_referencia,n_territorios_grupo,massa_total_grupo,massa_obj4_grupo,massa_com_grupo,razao_dependencia_grupo_ponderada,razao_dependencia_grupo_media_simples,razao_dependencia_grupo_media_pond
municipio,brasil,Brasil,simples,1.6602872239179147,5571,4890143667286.59,1971247276966.4902,141522044479.74957,0.07179314646792298,1.6602872239179147,0.07179128874330885
municipio,brasil,Brasil,ponderada_refeita,0.07179314646792298,5571,4890143667286.59,1971247276966.4902,141522044479.74957,0.07179314646792298,1.6602872239179147,0.07179128874330885
municipio,brasil,Brasil,ponderada_massa_obj4,0.07179128874330885,5571,4890143667286.59,1971247276966.4902,141522044479.74957,0.07179314646792298,1.6602872239179147,0.07179128874330885
municipio,q_pib,1.0,simples,4.117790375400498,1393,18312834985.01716,6227076739.668601,2655226744.129058,0.42640019629344833,4.117790375400498,0.42592127093291454
municipio,q_pib,1.0,ponderada_refeita,0.42640019629344833,1393,18312834985.01716,6227076739.668601,2655226744.129058,0.42640019629344833,4.117790375400498,0.42592127093291454
municipio,q_pib,1.0,ponderada_massa_obj4,0.42592127093291454,1393,18312834985.01716,6227076739.668601,2655226744.129058,0.42640019629344833,4.117790375400498,0.42592127093291454
municipio,q_pib,2.0,simples,1.063220281643487,1392,61770875015.28149,23210554316.862823,7675082661.480896,0.33067209669804526,1.063220281643487,0.33064281133048784
municipio,q_pib,2.0,ponderada_refeita,0.33067209669804526,1392,61770875015.28149,23210554316.862823,7675082661.480896,0.33067209669804526,1.063220281643487,0.33064281133048784
municipio,q_pib,2.0,ponderada_massa_obj4,0.33064281133048784,1392,61770875015.28149,23210554316.862823,7675082661.480896,0.33067209669804526,1.063220281643487,0.33064281133048784
municipio,q_pib,3.0,simples,0.9135206681581111,1393,189386238931.8969,69284356384.91907,18030797370.39502,0.2602434129606742,0.9135206681581111,0.2602434129606742
municipio,q_pib,3.0,ponderada_refeita,0.2602434129606742,1393,189386238931.8969,69284356384.91907,18030797370.39502,0.2602434129606742,0.9135206681581111,0.2602434129606742
municipio,q_pib,3.0,ponderada_massa_obj4,0.2602434129606742,1393,189386238931.8969,69284356384.91907,18030797370.39502,0.2602434129606742,0.9135206681581111,0.2602434129606742
municipio,q_pib,4.0,simples,0.6044759570692091,1392,4620625528175.425,1872522568610.7837,113135868847.07791,0.06041896142859999,0.6044759570692091,0.06041896142859999
municipio,q_pib,4.0,ponderada_refeita,0.06041896142859999,1392,4620625528175.425,1872522568610.7837,113135868847.07791,0.06041896142859999,0.6044759570692091,0.06041896142859999
municipio,q_pib,4.0,ponderada_massa_obj4,0.06041896142859999,1392,4620625528175.425,1872522568610.7837,113135868847.07791,0.06041896142859999,0.6044759570692091,0.06041896142859999
municipio,q_pib,,simples,9.21339458418128,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
municipio,q_pib,,ponderada_refeita,9.213394584181282,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
municipio,q_pib,,ponderada_massa_obj4,9.21339458418128,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
municipio,q_pib_pc,1.0,simples,2.0611094022444476,1393,54192904120.94916,16755683164.053543,3220735510.8872166,0.19221749894368703,2.0611094022444476,0.1920951205620746
municipio,q_pib_pc,1.0,ponderada_refeita,0.19221749894368703,1393,54192904120.94916,16755683164.053543,3220735510.8872166,0.19221749894368703,2.0611094022444476,0.1920951205620746
municipio,q_pib_pc,1.0,ponderada_massa_obj4,0.1920951205620746,1393,54192904120.94916,16755683164.053543,3220735510.8872166,0.19221749894368703,2.0611094022444476,0.1920951205620746
municipio,q_pib_pc,2.0,simples,1.4064413467044987,1392,380169700158.45435,144240937680.12134,11972104865.462004,0.08300074207789865,1.4064413467044987,0.08298956979058207
municipio,q_pib_pc,2.0,ponderada_refeita,0.08300074207789865,1392,380169700158.45435,144240937680.12134,11972104865.462004,0.08300074207789865,1.4064413467044987,0.08298956979058207
municipio,q_pib_pc,2.0,ponderada_massa_obj4,0.08298956979058207,1392,380169700158.45435,144240937680.12134,11972104865.462004,0.08300074207789865,1.4064413467044987,0.08298956979058207
municipio,q_pib_pc,3.0,simples,2.0264720384475745,1393,1186757137358.4336,469615772248.0748,31139082713.834816,0.06630757430648129,2.0264720384475745,0.06630757430648129
municipio,q_pib_pc,3.0,ponderada_refeita,0.06630757430648129,1393,1186757137358.4336,469615772248.0748,31139082713.834816,0.06630757430648129,2.0264720384475745,0.06630757430648129
municipio,q_pib_pc,3.0,ponderada_massa_obj4,0.06630757430648129,1393,1186757137358.4336,469615772248.0748,31139082713.834816,0.06630757430648129,2.0264720384475745,0.06630757430648129
municipio,q_pib_pc,4.0,simples,1.1505265286088087,1392,3268975735469.783,1340632162959.9846,95165052532.89883,0.07098520769692987,1.1505265286088087,0.07098520769692988
municipio,q_pib_pc,4.0,ponderada_refeita,0.07098520769692987,1392,3268975735469.783,1340632162959.9846,95165052532.89883,0.07098520769692987,1.1505265286088087,0.07098520769692988
municipio,q_pib_pc,4.0,ponderada_massa_obj4,0.07098520769692988,1392,3268975735469.783,1340632162959.9846,95165052532.89883,0.07098520769692987,1.1505265286088087,0.07098520769692988
municipio,q_pib_pc,,simples,9.21339458418128,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
municipio,q_pib_pc,,ponderada_refeita,9.213394584181282,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
municipio,q_pib_pc,,ponderada_massa_obj4,9.21339458418128,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
municipio,q_pop,1.0,simples,2.817102283791723,1393,44283119069.38748,17131742527.266783,7039154242.710804,0.410883728348551,2.817102283791723,0.4107834375446059
municipio,q_pop,1.0,ponderada_refeita,0.410883728348551,1393,44283119069.38748,17131742527.266783,7039154242.710804,0.410883728348551,2.817102283791723,0.4107834375446059
municipio,q_pop,1.0,ponderada_massa_obj4,0.4107834375446059,1393,44283119069.38748,17131742527.266783,7039154242.710804,0.410883728348551,2.817102283791723,0.4107834375446059
municipio,q_pop,2.0,simples,2.6156129454677544,1392,102619969102.18271,37116794994.94525,13988805842.347425,0.37688614666898074,2.6156129454677544,0.37685208799711123
municipio,q_pop,2.0,ponderada_refeita,0.37688614666898074,1392,102619969102.18271,37116794994.94525,13988805842.347425,0.37688614666898074,2.6156129454677544,0.37685208799711123
municipio,q_pop,2.0,ponderada_massa_obj4,0.37685208799711123,1392,102619969102.18271,37116794994.94525,13988805842.347425,0.37688614666898074,2.6156129454677544,0.37685208799711123
municipio,q_pop,3.0,simples,0.9115598017732968,1393,231919017083.21048,88812388784.9919,24746317819.256767,0.2786358767937854,0.9115598017732968,0.27862822324878245
municipio,q_pop,3.0,ponderada_refeita,0.2786358767937854,1393,231919017083.21048,88812388784.9919,24746317819.256767,0.2786358767937854,0.9115598017732968,0.27862822324878245
municipio,q_pop,3.0,ponderada_massa_obj4,0.27862822324878245,1393,231919017083.21048,88812388784.9919,24746317819.256767,0.2786358767937854,0.9115598017732968,0.27862822324878245
municipio,q_pop,4.0,simples,0.3187047663281845,1392,4511273371852.84,1828183629745.0305,95722697718.76788,0.052359454576298745,0.3187047663281845,0.052359454576298745
municipio,q_pop,4.0,ponderada_refeita,0.052359454576298745,1392,4511273371852.84,1828183629745.0305,95722697718.76788,0.052359454576298745,0.3187047663281845,0.052359454576298745
municipio,q_pop,4.0,ponderada_massa_obj4,0.052359454576298745,1392,4511273371852.84,1828183629745.0305,95722697718.76788,0.052359454576298745,0.3187047663281845,0.052359454576298745
municipio,q_pop,,simples,9.21339458418128,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
municipio,q_pop,,ponderada_refeita,9.213394584181282,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
municipio,q_pop,,ponderada_massa_obj4,9.21339458418128,1,48190178.96970081,2720914.255615234,25068856.66670704,9.213394584181282,9.21339458418128,9.21339458418128
municipio,q_pib_pop,QPIB1_QPOP1,simples,3.5636694675883662,877,12259543507.232994,4557641471.24789,2026251435.964126,0.4445833330126634,3.5636694675883662,0.4442063493815726
municipio,q_pib_pop,QPIB1_QPOP1,ponderada_refeita,0.4445833330126634,877,12259543507.232994,4557641471.24789,2026251435.964126,0.4445833330126634,3.5636694675883662,0.4442063493815726
municipio,q_pib_pop,QPIB1_QPOP1,ponderada_massa_obj4,0.4442063493815726,877,12259543507.232994,4557641471.24789,2026251435.964126,0.4445833330126634,3.5636694675883662,0.4442063493815726
municipio,q_pib_pop,QPIB1_QPOP2,simples,5.490425782923583,469,5617008419.31483,1590204468.7219994,605190211.1363714,0.3805738337678959,5.490425782923583,0.3797788738954759
municipio,q_pib_pop,QPIB1_QPOP2,ponderada_refeita,0.3805738337678959,469,5617008419.31483,1590204468.7219994,605190211.1363714,0.3805738337678959,5.490425782923583,0.3797788738954759
municipio,q_pib_pop,QPIB1_QPOP2,ponderada_massa_obj4,0.3797788738954759,469,5617008419.31483,1590204468.7219994,605190211.1363714,0.3805738337678959,5.490425782923583,0.3797788738954759
municipio,q_pib_pop,QPIB1_QPOP3,simples,0.8862164166929356,47,436283058.4693347,79230799.6987114,23785097.02856064,0.3002001383175169,0.8862164166929356,0.3002001383175169
municipio,q_pib_pop,QPIB1_QPOP3,ponderada_refeita,0.3002001383175169,47,436283058.4693347,79230799.6987114,23785097.02856064,0.3002001383175169,0.8862164166929356,0.3002001383175169
municipio,q_pib_pop,QPIB1_QPOP3,ponderada_massa_obj4,0.3002001383175169,47,436283058.4693347,79230799.6987114,23785097.02856064,0.3002001383175169,0.8862164166929356,0.3002001383175169
municipio,q_pib_pop,QPIB2_QPOP1,simples,1.4774607403302906,380,17423877653.099014,6922717907.945396,2873696354.353621,0.41511100012545643,1.4774607403302906,0.41511100012545643
municipio,q_pib_pop,QPIB2_QPOP1,ponderada_refeita,0.41511100012545643,380,17423877653.099014,6922717907.945396,2873696354.353621,0.41511100012545643,1.4774607403302906,0.41511100012545643
municipio,q_pib_pop,QPIB2_QPOP1,ponderada_massa_obj4,0.41511100012545643,380,17423877653.099014,6922717907.945396,2873696354.353621,0.41511100012545643,1.4774607403302906,0.41511100012545643
