Código CNAE;Descrição;Nível;Seção;Divisão;Grupo;Classe;Subclasse;Vínculos;Remuneração;Massa salarial;Salário relativo;Dif. abs.;Dif. %;Share vínculos;Share massa;Q salário;Q vínculos;Jenks;Rank salário;Rank vínculos;Rank massa;Classificação;Índice
4713004;Lojas de departamentos ou magazines, exceto lojas francas (Duty free);Subclasse;G;47;471;47130;4713004;185527;2508,6220111358457;465417115,86;0,9021546762979126;-272,0785461457972;-9,784532370208742;0,0025508630630623197;0,002301273040937289;2;4;1;730;85;104;Baixa remuneração e alto emprego;0,05591756802583798
2599399;Fabricação de outros produtos de metal não especificados anteriormente;Subclasse;C;25;259;25993;2599399;132568;3182,6646104640636;421919482,08;1,1445549583286927;401,9640531824207;14,45549583286927;0,0018227148315018602;0,002086197298014702;3;4;1;477;124;117;Alta remuneração e alto emprego;0,055881019236599015
3042300;Fabricação de turbinas, motores e outros componentes e peças para aeronaves;Subclasse;C;30;304;30423;3042300;4071;5625,3129673298945;22900649,09;2,0229840831294283;2844,6124100482516;102,29840831294284;0,00005597332749263829;0,0001132331505973981;4;2;2;156;907;791;Alta remuneração e baixo emprego;0,055691020013938275
0990401;Atividades de apoio à extração de minério de ferro;Subclasse;B;09;099;09904;0990401;2208;5657,636041666667;12492060,38;2,0346081590307796;2876,9354843850238;103,46081590307796;0,000030358414911261445;0,00006176747867369424;4;1;2;154;1026;928;Alta remuneração e baixo emprego;0,05542166535494559
4662100;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";Subclasse;G;46;466;46621;4662100;20528;5171,982548713952;106170457,76;1,859956669973116;2391,2819914323095;85,9956669973116;0,0002822452632691916;0,0005249639599858509;4;3;2;187;519;374;Alta remuneração e alto emprego;0,05531310766392319
4682600;Comércio atacadista de gás liquefeito de petróleo (GLP);Subclasse;G;46;468;46826;4682600;23585;5050,913054907781;119125784,4;1,8164174641822823;2270,212497626138;81,64174641822824;0,0003242768186966038;0,0005890220767099828;4;3;2;195;466;332;Alta remuneração e alto emprego;0,05460788431008542
1012103;Frigorífico - abate de suínos;Subclasse;C;10;101;10121;1012103;185935;2425,0115892112835;450894529,84;0,8720865620935202;-355,68896807035935;-12,79134379064798;0,0025564727701654875;0,0022294655492193184;2;4;1;778;83;109;Baixa remuneração e alto emprego;0,05445785679318924
8630502;Atividade médica ambulatorial com recursos para realização de exames complementares;Subclasse;Q;86;863;86305;8630502;162771;2711,114680010567;441290847,58;0,9749754150662301;-69,58587727107579;-2,502458493376991;0,0022379843992395548;0,0021819797685603327;3;4;1;623;97;112;Baixa remuneração e alto emprego;0,05405666684014582
2442300;Metalurgia dos metais preciosos;Subclasse;C;24;244;24423;2442300;2743;5543,5422019686475;15205936,26;1,9935775491726815;2762,8416446870046;99,35775491726815;0,00003771428084311148;0,00007518634357202041;4;1;2;162;991;888;Alta remuneração e baixo emprego;0,05402545095371313
7719502;Locação de aeronaves sem tripulação;Subclasse;N;77;771;77195;7719502;81;5589,941851851851;452785,29;2,0102638657779344;2809,2412945702085;101,02638657779343;0,0000011136918513642106;0,000002238814486408803;4;1;2;159;1278;1260;Alta remuneração e baixo emprego;0,05364933151791766
6622300;Corretores e agentes de seguros, de planos de previdência complementar e de saúde;Subclasse;K;66;662;66223;6622300;104003;3455,960536619136;359430263,69;1,242838078184734;675,259979337493;24,28380781847339;0,0014299665878695308;0,0017772169259361495;3;4;2;413;157;133;Alta remuneração e alto emprego;0,05334847402365191
0500301;Extração de carvão mineral;Subclasse;B;05;050;05003;0500301;3254;5476,360645359558;17820077,54;1,9694176098965284;2695,6600880779147;96,94176098965283;0,00004474016400418693;0,00008811206685950452;4;2;2;167;957;848;Alta remuneração e baixo emprego;0,05327521995569445
3032600;Fabricação de peças e acessórios para veículos ferroviários;Subclasse;C;30;303;30326;3032600;1549;5506,6899935442225;8529862,8;1,9803246987972887;2725,9894362625796;98,03246987972886;0,000021297637997076078;0,000042176238551653384;4;1;2;164;1088;997;Alta remuneração e baixo emprego;0,053050516383334995
3530100;Produção e distribuição de vapor, água quente e ar condicionado;Subclasse;D;35;353;35301;3530100;1694;5498,601782762692;9314631,42;1,9774160034469928;2717,901225481049;97,74160034469928;0,00002329128390383917;0,00004605655753227893;4;1;2;165;1068;983;Alta remuneração e baixo emprego;0,05299261828584443
