id_tipologia,regiao,tipologia_pndr,pib_2021_mil,pib_pc_2021,pop_2021,pop_2022,massa_total,massa_obj4,massa_com_agr,massa_com_min,massa_com,razao_dependencia_com,q_pib_2021,q_pib_pc_2021,q_pop_2021,jenks_pib_2021,jenks_pib_pc_2021,jenks_pop_2021,cruz_q_pib_pop,cruz_q_pibpc_pop,cruz_j_pib_pop,cruz_j_pibpc_pop,flag_dep_q_pib_pop,flag_dep_q_pibpc_pop,flag_dep_j_pib_pop,flag_dep_j_pibpc_pop
310049,3,Alta Renda,1901922,34826.08217974072,54612,56797,935125491.4527366,452553406.5900861,24700346.88412094,0,24700346.88412094,.0545799601205831,2,3,2,1,1,1,QPIB2_QPOP2,QPIBPC3_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
110003,1,Média Renda e Médio Dinamismo,3056922,25012.45336126203,122216,104758,1135615620.834776,250849327.1482423,48324102.9573555,5853307.928115845,54177410.88547134,.2159759067380499,3,2,2,1,1,1,QPIB3_QPOP2,QPIBPC2_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
310062,3,Alta Renda,22178404,44007.73861728767,503966,505158,13139277339.12812,6056684928.273345,805583278.7443572,808041084.5535583,1613624363.297915,.2664203904293122,4,4,4,1,1,1,QPIB4_QPOP4,QPIBPC4_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
310013,3,Média Renda e Médio Dinamismo,7060644,14256.29511473655,495265,449431,3350790306.307386,1044441741.12683,174752526.9550386,34517997.87348938,209270524.828528,.2003659147160758,3,1,4,1,1,1,QPIB3_QPOP4,QPIBPC1_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
350042,3,Alta Renda,19137193,50019.71546787317,382593,355793,13589479076.83178,5434355418.323485,16294509.7661438,34614808.14506531,50909317.91120911,.0093680508528304,4,4,4,1,1,1,QPIB4_QPOP4,QPIBPC4_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
160003,1,Baixa Renda e Baixo Dinamismo,1261921,15954.29604531203,79096,66676,120114429.166152,21893914.11024595,13237025.08871078,4343649.437610626,17580674.52632141,.8029936738490252,2,2,2,1,1,1,QPIB2_QPOP2,QPIBPC2_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
210020,2,Baixa Renda e Médio Dinamismo,2950521,10589.99547761419,278614,265867,620022066.2085252,110974100.9194197,119576540.2344437,319870.8184814453,119896411.0529251,1.080399931692026,3,1,4,1,1,1,QPIB3_QPOP4,QPIBPC1_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo
310058,3,Alta Renda,2937962,42941.36046069748,68418,65704,1635994524.474211,234925329.8611287,114605173.0899214,1455889.074012757,116061062.1639342,.4940338371879325,3,4,2,1,1,1,QPIB3_QPOP2,QPIBPC4_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
2705200,2,Baixa Renda e Baixo Dinamismo,207802,11417.06499642877,18201,15295,50925070.62920002,7737259.747078896,5778750.537296295,0,5778750.537296295,.7468730178637196,1,1,1,1,1,1,QPIB1_QPOP1,QPIBPC1_QPOP1,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo
330002,3,Média Renda e Baixo Dinamismo,11942290,46952.93026035401,254346,212330,5184792813.837439,2303632579.500119,3883666.686401367,9281975.066864014,13165641.75326538,.00571516563467,4,4,4,1,1,1,QPIB4_QPOP4,QPIBPC4_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
